Faqir Colony	 Metroville

Baloch Colony	 Mahmood Abad No. 6
 Mahmood Abad No. 6	 Star Gate
 Star Gate	 PNS Shifa
 PNS Shifa	 Adam Road
 Adam Road	 Khaliq-e-Saddi
 Khaliq-e-Saddi	 BoardBasin
 BoardBasin	 Kharkar Chowrangi
 Kharkar Chowrangi	 Bilawal House
 Bilawal House	 Khayaban-e-Attar
 Khayaban-e-Attar	 Darakshan
 Darakshan	 Khayaban-eShamsheer
 Khayaban-eShamsheer	 Sultan Masjid
 Sultan Masjid	 Qayyumabad
 Qayyumabad	

Surjani	 Sector 10
 Sector 10	 Sector 5-D
 Sector 5-D	 Sector 5-A
 Sector 5-A	 Sector 5-1
 Sector 5-1	 Sector 5-B
 Sector 5-B	 Sector 5-3
 Sector 5-3	 Sector 5-3
 Sector 5-3	 Sector5-2
 Sector5-2	 Naiabadi
 Naiabadi	 Two minites stop
 Two minites stop	 Sector 5-D
 Sector 5-D	 Sector 5-F
 Sector 5-F	 Sindhi hotel
 Sindhi hotel	 Sector 11-D
 Sector 11-D	 U.P society
 U.P society	

Sakhi hassan	 Hyderi
 Hyderi	 Board office
 Board office	 Nazimabad
 Nazimabad	 Gulbahar
 Gulbahar	 Lasbela
 Lasbela	 Nishtar Road
 Nishtar Road	 Lae Market
 Lae Market	 Kharadar
 Kharadar	 Tower
 Tower	 Fisheries
 Fisheries	

Orangi Town No 13	 Mansoor nagar
 Mansoor nagar	 Prehmat Chowk
 Prehmat Chowk	 Orangi No 8-1/2
 Orangi No 8-1/2	 Qater hospital
 Qater hospital	 Orangi No1
 Orangi No1	 Qasba mor
 Qasba mor	 Banaras Colony
 Banaras Colony	 Habib bank
 Habib bank	 Bara Board
 Bara Board	 Purana golimar garden
 Purana golimar garden	 Dhobi ghat
 Dhobi ghat	

Mirza adam khan Road	 Agra taj moosa lane
 Agra taj moosa lane	 Kharadar
 Kharadar	 Khoja jamat khana
 Khoja jamat khana	 Chota Gate
 Chota Gate	

North Karachi 5-E	 Nai Abadi
 Nai Abadi	 Daily Jung Office
 Daily Jung Office	 North Karachi Nai Abadi Kala School
 North Karachi Nai Abadi Kala School	 SindhiHotel
 SindhiHotel	 U.P Society
 U.P Society	 Sakhi Hassan
 Sakhi Hassan	 Hyderi
 Hyderi	 North Nazimabad
 North Nazimabad	 Petrol Pump
 Petrol Pump	 Lasbela
 Lasbela	 GandhiGarden
 GandhiGarden	 Garden Road
 Garden Road	 Regal
 Regal	 Daily Jung Ofice
 Daily Jung Ofice	 T&T Department
 T&T Department	

Mohajir camp	 shershah
 shershah	 Habib bank
 Habib bank	 Nazimabad No 2
 Nazimabad No 2	 Petrol Pump
 Petrol Pump	 Liaquatabad No 10
 Liaquatabad No 10	 Teenhatti
 Teenhatti	 Dehangir Road
 Dehangir Road	 Guru Mandir
 Guru Mandir	 Old exhibition
 Old exhibition	 Mansfield street
 Mansfield street	 Preedy street
 Preedy street	 Mir karam alitalpur Road
 Mir karam alitalpur Road	 Wellington street
 Wellington street	 Dr. dawood pota Road
 Dr. dawood pota Road	 Cantt Station
 Cantt Station	 Raca course
 Raca course	 Dehli Colony
 Dehli Colony	Gizri
Gizri	

Saeedabad	 Chandni Chowk
 Chandni Chowk	 Dabba Colony
 Dabba Colony	 Swat Colony
 Swat Colony	 Baldia shershah
 Baldia shershah	 Gulbai
 Gulbai	 Agra tajColony
 Agra tajColony	 Tower
 Tower	 I.I chundrigar Road
 I.I chundrigar Road	 Shahrah-e-liaquat
 Shahrah-e-liaquat	 Regal
 Regal	 Preedy street
 Preedy street	 Dr. dawood potaRoad
 Dr. dawood potaRoad	 Jutland line
 Jutland line	 Abbysinia
 Abbysinia	 P.E.C.H.S society bus stop
 P.E.C.H.S society bus stop	

Naiabadi	 Mohajir camp
 Mohajir camp	 Shah faisal Colony
 Shah faisal Colony	 Zam zam Chowk No 4
 Zam zam Chowk No 4	 Rashidabad No 2
 Rashidabad No 2	 shershah
 shershah	

Gulbai	 Tower
 Tower	 Burns Road
 Burns Road	 M.A jinnah Road
 M.A jinnah Road	 Old exhibition
 Old exhibition	 Mazar quaid-e-azam
 Mazar quaid-e-azam	 Society office
 Society office	

Tariq Road	 Bahadurabad
 Bahadurabad	 Jail Road
 Jail Road	 Hasan square
 Hasan square	 Gulshan-e-Iqbal
 Gulshan-e-Iqbal	 Water Pump
 Water Pump	 Sohrabgoth
 Sohrabgoth	 Zero Mile
 Zero Mile	

Mohajir camp	 Habibabad
 Habibabad	 Bus stop No 5
 Bus stop No 5	 Quaid-e-azam society
 Quaid-e-azam society	 Shershah
 Shershah	 Lea Market
 Lea Market	 Hajicamp
 Hajicamp	 Civil hospital
 Civil hospital	 Aram bagh
 Aram bagh	 Burns Road
 Burns Road	 Regal
 Regal	 Lucky star
 Lucky star	 Empress Market
 Empress Market	 Masjid-ekhizra
 Masjid-ekhizra	 Shahrah-e-iraq
 Shahrah-e-iraq	Mohajir camp
Mohajir camp	 Saeedabad
 Saeedabad	 Chandni Chowk
 Chandni Chowk	 Dabba Colony
 Dabba Colony	 Shershah
 Shershah	 Habib bank
 Habib bank	 Nazimabad
 Nazimabad	

Al-Azam square	 Teen hatti
 Teen hatti	 Jail Road
 Jail Road	 Shaheed-e-millat Road
 Shaheed-e-millat Road	 Tariq Road
 Tariq Road	 Cafe liberty
 Cafe liberty	

Cheelawala kothi khalid bin walid Road	 Shahrah-e-qaideen
 Shahrah-e-qaideen	 Society office
 Society office	 Khudadad Colony
 Khudadad Colony	

Old Exhibition	 Tibet Market
 Tibet Market	 Regal Cinema
 Regal Cinema	 Buns Road
 Buns Road	 Jama Cloth
 Jama Cloth	 M.A Jinnah Road
 M.A Jinnah Road	 Tower
 Tower	

Dockyard	 New Karachi Sector No. 5-C
 New Karachi Sector No. 5-C	 New Karachi Sector No. 5-B
 New Karachi Sector No. 5-B	 School No. 3
 School No. 3	 School No. 4
 School No. 4	 Nala
 Nala	 U.P

Society	 Sakhi Hassan Nazimabad No. 7
 Sakhi Hassan Nazimabad No. 7	 Petrol Pump
 Petrol Pump	 Lasbela
 Lasbela	 Garden
 Garden	 Nishter Road
 Nishter Road	 K.M.CWorkshop
 K.M.CWorkshop	 Baba-e-Urdu Road
 Baba-e-Urdu Road	 City Court
 City Court	 Tower
 Tower	 Sultanabad
 Sultanabad	 P.I.D.C
 P.I.D.C	 Cantt Station
 Cantt Station	 Kala Pull
 Kala Pull	Azam Basti
Azam Basti	 Manzoor Colony
 Manzoor Colony	

Lee Market	 Chakiwara
 Chakiwara	 Shershah
 Shershah	 General motors
 General motors	 Hub river Road
 Hub river Road	 Saeedabad
 Saeedabad	Noor masjid
Noor masjid	 Mohajir camp 7-1/2
 Mohajir camp 7-1/2	 shershah
 shershah	 Mauripur Road
 Mauripur Road	

Saadi Town	 Gulshan umair
 Gulshan umair	 Race course
 Race course	 Safoora goth
 Safoora goth	 University Road
 University Road	 N.I.P.A Chowrangi
 N.I.P.A Chowrangi	

Hassan square	 Jail Road
 Jail Road	 Guru Mandir
 Guru Mandir	 Nomaish
 Nomaish	 Plaza
 Plaza	 Ramswami
 Ramswami	 Shershah
 Shershah	 GhaniChowrangi
 GhaniChowrangi	 Rashidabad
 Rashidabad	 Chandni Chowk
 Chandni Chowk	 Mawach Colony
 Mawach Colony	 Qasim Ali Shah
 Qasim Ali Shah	

Farid Colony	 Orangi No 10
 Orangi No 10	 Orangi No 4
 Orangi No 4	 Frontier mor
 Frontier mor	 Site
 Site	 Habib bank
 Habib bank	 Nazimabad
 Nazimabad	 PetrolPump
 PetrolPump	 Liaquatabad No 10
 Liaquatabad No 10	 Civic Centre
 Civic Centre	 Subzi mandi
 Subzi mandi	 New Town
 New Town	 Police Station
 Police Station	 Alamgir Road
 Alamgir Road	

Bahadurabad	 Tariq Road
 Tariq Road	 Shaheed-e-millat Road
 Shaheed-e-millat Road	 Dehli society
 Dehli society	 Baloch Colony
 Baloch Colony	 Mahmoodabad
 Mahmoodabad	

Manzoor Colony	 Qayyumabad
 Qayyumabad	 Chamra Colony
 Chamra Colony	 LPG Plant
 LPG Plant	 HB Weather
 HB Weather	 Hazrat Bilal Colony
 Hazrat Bilal Colony	Shahrah-e-Daruuloom
Shahrah-e-Daruuloom	 Hashim Goth
 Hashim Goth	

Gulshan-e-zia	 gulshan-e-bihar
 gulshan-e-bihar	 shah faisal Chowk
 shah faisal Chowk	 Orangi Town No 14
 Orangi Town No 14	 Orangi Town No 13
 Orangi Town No 13	

Qater hospital	 orangi No 1
 orangi No 1	 Qasba mor
 Qasba mor	 Banaras
 Banaras	 Abdullah college
 Abdullah college	 Paposh
 Paposh	 Nazimabad No 2
 Nazimabad No 2	

Petrol Pump	 Liaquatabad No 10
 Liaquatabad No 10	 P.O sindhi hotel
 P.O sindhi hotel	 Sabzi mandi
 Sabzi mandi	 New Town
 New Town	 Stadium
 Stadium	 Dalmia
 Dalmia	Driven Cinema
Driven Cinema	 Gulistan-e-Jouhar
 Gulistan-e-Jouhar	

Willayat Ali shah	 Moach goth
 Moach goth	 Shershah
 Shershah	 Pankha hotel
 Pankha hotel	 Mir naka
 Mir naka	 Mirza adam khan Road
 Mirza adam khan Road	 Agrataj hanif manzil
 Agrataj hanif manzil	 Kharadar
 Kharadar	 Ismiala jamat khana tower
 Ismiala jamat khana tower	 Keamari
 Keamari	 Dak khana
 Dak khana	 Tarachand Road
 Tarachand Road	

K.P.T ground	 Shireen jinnah Colony
 Shireen jinnah Colony	 Kharkar Chowrangi
 Kharkar Chowrangi	 Clifton 26 street
 Clifton 26 street	

Noor masjid	 Qabrustan
 Qabrustan	 shershah
 shershah	 Lee Market
 Lee Market	 Garden
 Garden	 Coast guard
 Coast guard	 (HQ) Mansfield street
 (HQ) Mansfield street	 Mirkaram ali talpur Road
 Mirkaram ali talpur Road	 Wellington street
 Wellington street	 Dr. dawood pota Road
 Dr. dawood pota Road	 Cantt Station
 Cantt Station	
